# formica run 1  ended: manual save  at day 12704.8
# events:
# 80.1	DORMANCY at 13.9C
# 222.0	REACTIVATION at 12.0C
# 417.0	DORMANCY at 18.2C
# 587.0	REACTIVATION at 12.0C
# 782.0	DORMANCY at 18.2C
# 952.0	REACTIVATION at 12.0C
# 1147.0	DORMANCY at 18.2C
# 1317.0	REACTIVATION at 12.0C
# 1512.0	DORMANCY at 18.2C
# 1682.0	REACTIVATION at 12.0C
# 1877.0	DORMANCY at 18.2C
# 2047.0	REACTIVATION at 12.0C
# 2242.0	DORMANCY at 18.2C
# 2412.0	REACTIVATION at 12.0C
# 2607.0	DORMANCY at 18.2C
# 2777.0	REACTIVATION at 12.0C
# 2972.0	DORMANCY at 18.2C
# 3142.0	REACTIVATION at 12.0C
# 3337.0	DORMANCY at 18.2C
# 3507.0	REACTIVATION at 12.0C
# 3702.0	DORMANCY at 18.2C
# 3872.0	REACTIVATION at 12.0C
# 4067.0	DORMANCY at 18.2C
# 4237.0	REACTIVATION at 12.0C
# 4432.0	DORMANCY at 18.2C
# 4602.0	REACTIVATION at 12.0C
# 4797.0	DORMANCY at 18.2C
# 4967.0	REACTIVATION at 12.0C
# 5162.0	DORMANCY at 18.2C
# 5332.0	REACTIVATION at 12.0C
# 5527.0	DORMANCY at 18.2C
# 5697.0	REACTIVATION at 12.0C
# 5878.6	QUEEN DIED (senescence)
day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals
0.0	24.18	0.959	0	0	241	241.00	0	0	0	0	0	0.0	0.000	0.0	150.0	0.0	0	0.00	0	0	0	0	0
0.8	24.13	0.956	0	0	241	241.00	5	0	0	0	0	0.0	0.000	0.8	150.0	0.0	0	7.20	0	0	0	0	0
10.8	23.34	0.917	0	0	241	241.00	14	8	0	0	0	0.0	0.000	10.1	150.0	0.0	0	0.00	0	0	0	0	0
20.8	22.34	0.867	0	0	241	241.00	0	19	0	0	0	0.0	0.000	19.1	150.0	0.0	0	0.00	0	0	0	0	0
30.8	21.16	0.808	0	0	241	241.00	0	0	0	16	0	0.0	0.000	27.5	150.0	0.0	0	0.00	0	0	0	0	0
40.8	19.82	0.741	16	9	241	15.06	0	0	0	0	0	4.8	0.405	35.2	155.7	0.0	0	0.00	16	0	0	0	0
50.8	18.36	0.668	16	4	241	15.06	42	0	0	0	9	7.2	1.147	42.3	165.7	0.0	0	1.46	16	0	0	0	0
60.8	16.84	0.592	16	7	241	15.06	32	27	0	0	9	8.6	1.525	48.6	175.7	0.0	0	3.71	16	0	0	0	0
70.8	15.29	0.515	16	11	241	15.06	40	45	0	0	9	12.2	1.600	54.1	185.7	0.0	0	1.26	16	0	0	0	0
80.8	13.77	0.438	16	14	241	15.06	28	63	0	0	9	12.7	1.600	58.9	195.0	0.1	1	0.00	16	0	0	0	0
90.8	12.31	0.365	16	14	241	15.06	9	75	0	0	9	11.5	1.600	62.9	195.0	2.6	1	0.00	16	0	0	0	0
