# formica run 1  seed 20260828  ended: in progress  at day 2790.3
# events:
# 80.1	DORMANCY at 13.9C
# 222.0	REACTIVATION at 12.0C
# 417.0	DORMANCY at 18.2C
# 587.0	REACTIVATION at 12.0C
# 782.0	DORMANCY at 18.2C
# 952.0	REACTIVATION at 12.0C
# 1147.0	DORMANCY at 18.2C
# 1317.0	REACTIVATION at 12.0C
# 1512.0	DORMANCY at 18.2C
# 1682.0	REACTIVATION at 12.0C
# 1877.0	DORMANCY at 18.2C
# 2047.0	REACTIVATION at 12.0C
# 2242.0	DORMANCY at 18.2C
# 2412.0	REACTIVATION at 12.0C
# 2607.0	DORMANCY at 18.2C
# 2777.0	REACTIVATION at 12.0C
day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals	diap	laid	bDied	bEaten
0.0	24.18	0.959	0	0	241	241.00	0	0	0	0	0	0.0	0.000	0.0	150.0	0.0	0	0.00	0	0	0	0	0	0	0	0	0
10.0	23.42	0.921	0	0	241	241.00	19	3	0	0	0	0.0	0.000	9.4	150.0	0.0	0	0.00	0	0	0	0	0	0	22	0	0
20.0	22.43	0.872	0	0	241	241.00	2	19	0	0	0	0.0	0.000	18.4	150.0	0.0	0	6.22	0	0	0	0	0	0	46	0	25
30.0	21.26	0.813	0	0	241	241.00	0	0	0	16	0	0.0	0.000	26.8	150.0	0.0	0	0.00	0	0	0	0	0	0	47	0	31
40.0	19.93	0.746	16	6	241	15.06	0	0	0	0	0	4.1	0.399	34.6	154.9	0.0	0	0.00	16	0	0	0	0	0	47	0	31
50.0	18.48	0.674	16	4	241	15.06	40	0	0	0	9	7.9	1.086	41.7	164.9	0.0	0	2.13	16	0	0	0	0	0	87	0	31
60.0	16.97	0.598	16	5	241	15.06	31	25	0	0	9	8.9	1.510	48.1	174.9	0.0	0	4.01	16	0	0	0	0	25	103	0	31
70.0	15.42	0.521	16	11	241	15.06	40	44	0	0	9	12.3	1.600	53.7	184.9	0.0	0	1.29	16	0	0	0	0	44	131	0	31
80.0	13.89	0.444	16	14	241	15.06	32	59	0	0	9	12.8	1.600	58.5	194.9	0.0	0	0.45	16	0	0	0	0	59	138	0	31
90.0	12.42	0.371	16	14	241	15.06	10	74	0	0	9	11.6	1.600	62.6	195.0	2.4	1	0.00	16	0	0	0	0	74	138	0	38
100.0	11.06	0.303	16	14	241	15.06	0	76	0	0	9	10.7	1.600	65.9	195.0	5.6	1	0.00	16	0	0	0	0	76	138	0	46
110.0	9.84	0.250	16	14	241	15.06	0	76	0	0	9	9.9	1.600	68.7	195.0	9.7	1	0.00	16	0	0	0	0	76	138	0	46
120.0	8.81	0.250	16	14	241	15.06	0	76	0	0	9	9.2	1.600	71.2	195.0	14.9	1	0.00	16	0	0	0	0	76	138	0	46
130.0	7.99	0.250	16	14	241	15.06	0	76	0	0	9	8.4	1.600	73.7	195.0	21.1	1	0.00	16	0	0	0	0	76	138	0	46
140.0	7.40	0.250	16	15	241	15.06	0	76	0	0	9	8.4	1.600	76.2	195.0	28.2	1	0.00	16	0	0	0	0	76	138	0	46
150.0	7.07	0.250	16	16	241	15.06	0	76	0	0	9	8.5	1.600	78.7	195.0	36.1	1	0.00	16	0	0	0	0	76	138	0	46
160.0	7.01	0.250	16	16	241	15.06	0	76	0	0	9	7.8	1.600	81.2	195.0	44.2	1	0.00	16	0	0	0	0	76	138	0	46
170.0	7.21	0.250	16	16	241	15.06	0	76	0	0	9	7.1	1.600	83.7	195.0	52.3	1	0.00	16	0	0	0	0	76	138	0	46
180.0	7.67	0.250	16	16	241	15.06	0	76	0	0	9	6.3	1.600	86.2	195.0	59.8	1	0.00	16	0	0	0	0	76	138	0	46
190.0	8.37	0.250	16	16	241	15.06	0	76	0	0	9	5.6	1.600	88.7	195.0	66.5	1	0.00	16	0	0	0	0	76	138	0	46
200.0	9.30	0.250	16	16	241	15.06	0	76	0	0	9	4.9	1.600	91.2	195.0	72.2	1	0.00	16	0	0	0	0	76	138	0	46
210.0	10.43	0.272	16	16	241	15.06	0	76	0	0	9	4.2	1.597	93.7	195.0	76.9	1	0.00	16	0	0	0	0	76	138	0	46
220.0	11.73	0.336	16	16	241	15.06	0	76	0	0	9	3.4	1.590	96.7	195.0	80.5	1	0.00	16	0	0	0	0	76	138	0	46
230.0	13.15	0.407	16	16	241	15.06	0	76	76	0	9	2.5	1.582	100.5	8.0	0.0	0	0.00	16	0	0	0	0	0	138	0	46
240.0	14.65	0.483	16	16	241	15.06	0	76	76	0	9	1.6	1.559	104.9	18.0	0.0	0	0.00	16	0	0	0	0	0	138	0	46
250.0	16.20	0.560	16	16	241	15.06	0	76	76	0	9	1.1	1.498	110.1	28.0	0.0	0	0.00	16	0	0	0	0	0	138	0	46
260.0	17.73	0.637	16	16	234	14.63	0	63	63	0	0	2.5	1.403	116.1	38.0	0.0	0	0.00	16	0	0	7	9	0	138	13	46
270.0	19.22	0.711	16	11	218	13.63	0	26	23	0	0	9.9	1.549	122.8	48.0	0.0	0	0.00	16	0	0	23	27	0	138	50	46
280.0	20.61	0.781	16	9	207	12.94	1	8	6	2	0	10.4	1.600	130.3	58.0	0.0	0	0.00	16	0	0	34	45	0	139	66	46
290.0	21.87	0.843	18	10	202	11.22	23	6	3	1	2	11.7	1.474	138.4	68.0	0.0	0	3.17	18	0	0	39	88	0	161	67	46
