# formica run 2  seed -1620270707  ended: in progress  at day 790.1
# events:
# 79.8	DORMANCY at 13.9C
# 222.0	REACTIVATION at 12.0C
# 417.0	DORMANCY at 18.2C
# 587.0	REACTIVATION at 12.0C
# 782.0	DORMANCY at 18.2C
day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals	diap	laid	bDied	bEaten
0.0	24.18	0.959	0	0	241	241.00	0	0	0	0	0	0.0	0.000	0.0	150.0	0.0	0	0.00	0	0	0	0	0	0	0	0	0
10.0	23.42	0.921	0	0	241	241.00	19	3	0	0	0	0.0	0.000	9.4	150.0	0.0	0	0.00	0	0	0	0	0	0	22	0	0
20.0	22.43	0.872	0	0	241	241.00	3	18	0	0	0	0.0	0.000	18.4	150.0	0.0	0	6.28	0	0	0	0	0	0	45	0	24
30.0	21.26	0.813	0	0	241	241.00	0	0	0	16	0	0.0	0.000	26.8	150.0	0.0	0	0.00	0	0	0	0	0	0	47	0	31
40.0	19.93	0.746	16	10	241	15.06	0	0	0	0	0	3.6	0.422	34.6	155.2	0.0	0	0.00	16	0	0	0	0	0	47	0	31
50.0	18.48	0.674	16	11	241	15.06	35	0	0	0	6	8.0	0.756	41.7	165.3	0.0	0	3.15	16	0	0	0	0	0	82	0	31
60.0	16.97	0.598	16	6	241	15.06	46	0	0	0	6	8.3	1.439	48.1	175.3	0.0	0	0.14	16	0	0	0	0	0	93	0	31
70.0	15.42	0.521	16	13	241	15.06	30	38	0	0	6	10.2	1.555	53.7	185.3	0.0	0	2.33	16	0	0	0	0	38	115	0	31
80.0	13.89	0.444	16	16	241	15.06	37	45	0	0	6	12.5	1.555	58.5	195.0	0.1	1	0.00	16	0	0	0	0	45	129	0	31
90.0	12.42	0.371	16	16	241	15.06	29	45	0	0	6	11.4	1.555	62.6	195.0	2.5	1	0.00	16	0	0	0	0	45	129	0	39
100.0	11.06	0.303	16	16	241	15.06	28	45	0	0	6	10.4	1.555	65.9	195.0	5.6	1	0.00	16	0	0	0	0	45	129	0	40
110.0	9.84	0.250	16	16	241	15.06	16	45	0	0	6	9.6	1.555	68.7	195.0	9.8	1	0.00	16	0	0	0	0	45	129	0	52
120.0	8.81	0.250	16	16	241	15.06	12	45	0	0	6	8.9	1.553	71.2	195.0	14.9	1	0.00	16	0	0	0	0	45	129	0	56
130.0	7.99	0.250	16	16	241	15.06	6	45	0	0	6	8.3	1.548	73.7	195.0	21.2	1	0.00	16	0	0	0	0	45	129	0	62
140.0	7.40	0.250	16	16	241	15.06	0	45	0	0	6	7.7	1.542	76.2	195.0	28.3	1	0.00	16	0	0	0	0	45	129	0	68
150.0	7.07	0.250	16	16	241	15.06	0	45	0	0	6	7.1	1.535	78.7	195.0	36.2	1	0.00	16	0	0	0	0	45	129	0	68
160.0	7.01	0.250	16	16	241	15.06	0	45	0	0	6	6.5	1.527	81.2	195.0	44.3	1	0.00	16	0	0	0	0	45	129	0	68
170.0	7.21	0.250	16	16	241	15.06	0	45	0	0	6	5.9	1.518	83.7	195.0	52.4	1	0.00	16	0	0	0	0	45	129	0	68
180.0	7.67	0.250	16	16	241	15.06	0	45	0	0	6	5.3	1.510	86.2	195.0	59.9	1	0.00	16	0	0	0	0	45	129	0	68
190.0	8.37	0.250	16	16	241	15.06	0	45	0	0	6	4.7	1.501	88.7	195.0	66.6	1	0.00	16	0	0	0	0	45	129	0	68
200.0	9.30	0.250	16	16	241	15.06	0	45	0	0	6	4.1	1.493	91.2	195.0	72.3	1	0.00	16	0	0	0	0	45	129	0	68
210.0	10.43	0.272	16	16	241	15.06	0	45	0	0	6	3.6	1.482	93.7	195.0	76.9	1	0.00	16	0	0	0	0	45	129	0	68
220.0	11.73	0.336	16	16	241	15.06	0	45	0	0	6	2.9	1.469	96.7	195.0	80.6	1	0.00	16	0	0	0	0	45	129	0	68
230.0	13.15	0.407	16	16	241	15.06	0	45	45	0	6	2.1	1.452	100.5	8.0	0.0	0	0.00	16	0	0	0	0	0	129	0	68
240.0	14.65	0.483	16	16	241	15.06	0	45	45	0	6	1.2	1.429	104.9	18.0	0.0	0	0.00	16	0	0	0	0	0	129	0	68
250.0	16.20	0.560	16	16	241	15.06	0	45	45	0	6	0.5	1.380	110.1	28.0	0.0	0	0.00	16	0	0	0	0	0	129	0	68
260.0	17.73	0.637	16	12	232	14.50	0	44	44	0	0	6.0	1.372	116.1	38.0	0.0	0	0.00	16	0	0	9	6	0	129	1	68
270.0	19.22	0.711	16	13	200	12.50	0	20	20	0	0	11.5	1.522	122.8	48.0	0.0	0	0.00	16	0	0	41	24	0	129	25	68
280.0	20.61	0.781	16	6	200	12.50	1	9	7	1	0	9.1	1.596	130.3	58.0	0.0	0	0.00	16	0	0	41	54	0	130	35	68
290.0	21.87	0.843	17	5	200	11.76	3	5	2	2	0	10.8	1.523	138.4	68.0	0.0	0	0.00	17	0	0	41	75	0	133	38	68
300.0	22.95	0.898	19	5	200	10.53	42	5	0	3	3	11.0	1.466	147.2	78.0	0.0	0	1.78	19	0	0	41	108	0	175	38	68
310.0	23.83	0.941	22	7	200	9.09	3	46	18	2	0	12.2	1.406	156.4	88.0	0.0	0	0.00	22	0	0	41	148	0	179	38	68
320.0	24.47	0.974	24	10	200	8.33	0	29	23	20	0	13.7	1.431	165.9	98.0	0.0	0	0.00	24	0	0	41	190	0	179	38	68
