# formica v1.9.2 thermal-year sweep  seed 20260828  1500 sim-days per arm
# Dormancy spells from probe-v192-thermal-year.js. 'current' is v1.9.2 (endogenous
# sand-glass); 'v11' is formica-v1.1-legacy.html (thermal gate), the matched control.
# Spell 1 is the founding year and is excluded from every steady-state figure:
# she founds mid-year with a part-season, so her first onset differs by design.
# prevOffToOn is reactivation -> next dormancy onset; onToOn is the realised cycle.
build	year	spell	onDay	onAmb	onPhase	offDay	offAmb	spellLen	prevOffToOn	onToOn
current	200	1	184.0	24.64	0.0450	344.0	21.06	161		
current	200	2	540.0	20.09	0.8250	712.0	12.43	173	196.0	356.0
current	200	3	908.0	11.42	0.6650	1110.0	11.91	203	196.0	368.0
current	200	4	1306.0	10.94	0.6550	1500.0	9.64	195	196.0	398.0
current	250	1	206.0	23.99	0.9240	394.0	11.96	189		
current	250	2	590.0	7.28	0.4600	803.0	12.58	214	196.0	384.0
current	250	3	999.0	23.41	0.0960	1144.0	11.96	146	196.0	409.0
current	250	4	1340.0	7.28	0.4600	1500.0	23.28	161	196.0	341.0
current	300	1	88.0	9.57	0.3767	178.0	12.00	91		
current	300	2	374.0	11.66	0.3300	478.0	12.00	105	196.0	286.0
current	300	3	674.0	11.66	0.3300	778.0	12.00	105	196.0	300.0
current	300	4	974.0	11.66	0.3300	1078.0	12.00	105	196.0	300.0
current	300	5	1274.0	11.66	0.3300	1378.0	12.00	105	196.0	300.0
current	365	1	82.0	13.59	0.2932	221.0	11.86	140		
current	365	2	417.0	18.19	0.2110	586.0	11.86	170	196.0	335.0
current	365	3	782.0	18.19	0.2110	951.0	11.86	170	196.0	365.0
current	365	4	1147.0	18.19	0.2110	1316.0	11.86	170	196.0	365.0
current	450	1	78.0	17.19	0.2289	279.0	11.94	202		
current	450	2	475.0	22.89	0.1111	729.0	11.94	255	196.0	397.0
current	450	3	925.0	22.89	0.1111	1179.0	11.94	255	196.0	450.0
current	450	4	1375.0	22.89	0.1111	1500.0	9.11	126	196.0	450.0
current	550	1	78.0	19.46	0.1873	347.0	11.98	270		
current	550	2	543.0	24.81	0.0327	897.0	11.98	355	196.0	465.0
current	550	3	1093.0	24.81	0.0327	1447.0	11.98	355	196.0	550.0
v11	200	1	40.0	11.91	0.3250	110.0	11.91	71		
v11	200	2	241.0	11.66	0.3300	309.0	11.66	69	131.0	201.0
v11	200	3	441.0	11.66	0.3300	509.0	11.66	69	132.0	200.0
v11	200	4	643.0	11.18	0.3400	708.0	11.42	66	134.0	202.0
v11	200	5	849.0	9.84	0.3700	901.0	9.84	53	141.0	206.0
v11	200	6	1049.0	9.84	0.3700	1101.0	9.84	53	148.0	200.0
v11	200	7	1249.0	9.84	0.3700	1301.0	9.84	53	148.0	200.0
v11	200	8	1449.0	9.84	0.3700	1500.0	9.64	52	148.0	200.0
v11	250	1	56.0	11.96	0.3240	144.0	11.96	89		
v11	250	2	308.0	11.57	0.3320	393.0	11.76	86	164.0	252.0
v11	250	3	567.0	9.92	0.3680	633.0	9.92	67	174.0	259.0
v11	250	4	817.0	9.92	0.3680	883.0	9.92	67	184.0	250.0
v11	250	5	1067.0	9.92	0.3680	1133.0	9.92	67	184.0	250.0
v11	250	6	1317.0	9.92	0.3680	1382.0	9.76	66	184.0	250.0
v11	300	1	77.0	11.18	0.3400	163.0	9.70	87		
v11	300	2	378.0	11.02	0.3433	473.0	11.18	96	215.0	301.0
v11	300	3	686.0	9.84	0.3700	764.0	9.84	79	213.0	308.0
v11	300	4	985.0	9.98	0.3667	1064.0	9.84	80	221.0	299.0
v11	300	5	1286.0	9.84	0.3700	1364.0	9.84	79	222.0	301.0
v11	365	1	95.0	11.73	0.3288	221.0	11.86	127		
v11	365	2	475.0	9.84	0.3699	571.0	9.96	97	254.0	380.0
v11	365	3	840.0	9.84	0.3699	937.0	10.07	98	269.0	365.0
v11	365	4	1205.0	9.84	0.3699	1299.0	9.73	95	268.0	365.0
v11	450	1	126.0	11.39	0.3356	278.0	11.83	153		
v11	450	2	591.0	9.88	0.3689	710.0	9.98	120	313.0	465.0
v11	450	3	1042.0	9.79	0.3711	1161.0	10.07	120	332.0	451.0
v11	450	4	1490.0	9.98	0.3667	1500.0	9.11	11	329.0	448.0
v11	550	1	155.0	11.80	0.3273	347.0	11.98	193		
v11	550	2	727.0	9.95	0.3673	873.0	9.95	147	380.0	572.0
v11	550	3	1278.0	9.88	0.3691	1423.0	9.95	146	405.0	551.0
