# formica run 1  seed 20260828  season 16/9/-25  year 200  ended: colony extinct  at day 1500.0
# events:
# 183.9	DORMANCY at 24.6C
# 344.2	REACTIVATION at 21.1C
# 539.2	DORMANCY at 19.9C
# 712.5	REACTIVATION at 12.5C
# 907.5	DORMANCY at 11.3C
# 1110.3	REACTIVATION at 12.0C
# 1305.3	DORMANCY at 10.8C
day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals	diap	laid	bDied	bEaten
0.0	22.36	0.868	0	0	152	152.00	0	0	0	0	0	0.0	0.000	0.0	150.0	0.0	0	0.00	0	0	0	0	0	0	0	0	0
10.0	20.09	0.754	0	0	152	152.00	22	0	0	0	0	0.0	0.000	8.1	150.0	0.0	0	0.00	0	0	0	0	0	0	22	0	0
20.0	17.41	0.620	0	0	152	152.00	1	19	0	0	0	0.0	0.000	15.0	150.0	0.0	0	3.21	0	0	0	0	0	0	34	0	14
30.0	14.59	0.480	0	0	152	152.00	0	11	0	0	0	0.0	0.000	20.5	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	34
40.0	11.91	0.346	0	0	152	152.00	0	5	0	0	0	0.0	0.000	24.6	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	40
50.0	9.64	0.250	0	0	152	152.00	0	1	0	2	0	0.0	0.000	27.5	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	42
60.0	7.98	0.250	0	0	152	152.00	0	0	0	3	0	0.0	0.000	30.0	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	42
70.0	7.11	0.250	0	0	152	152.00	0	0	0	3	0	0.0	0.000	32.5	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	42
80.0	7.11	0.250	0	0	152	152.00	0	0	0	3	0	0.0	0.000	35.0	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	42
90.0	7.98	0.250	0	0	152	152.00	0	0	0	3	0	0.0	0.000	37.5	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	42
100.0	9.64	0.250	0	0	152	152.00	0	0	0	3	0	0.0	0.000	40.0	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	42
110.0	11.92	0.346	0	0	152	152.00	0	0	0	3	0	0.0	0.000	42.9	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	42
120.0	14.60	0.480	0	0	152	152.00	0	0	0	3	0	0.0	0.000	47.0	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	42
130.0	17.41	0.621	0	0	152	152.00	0	0	0	3	0	0.0	0.000	52.5	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	42
140.0	20.09	0.754	3	0	152	50.67	0	0	0	0	0	0.3	0.259	59.4	151.1	0.0	0	0.00	3	0	0	0	0	0	45	0	42
150.0	22.37	0.868	3	2	152	50.67	38	0	0	0	3	1.5	0.364	67.5	161.1	0.0	0	3.04	3	0	0	0	0	0	83	0	42
160.0	24.02	0.951	3	1	152	50.67	29	40	0	0	3	0.8	0.627	76.7	171.1	0.0	0	4.96	3	0	0	0	0	40	114	0	42
170.0	24.89	0.994	3	0	152	50.67	36	77	0	0	3	2.1	0.809	86.4	181.1	0.0	0	4.59	3	0	0	0	0	77	158	0	42
180.0	24.89	0.994	3	0	152	50.67	31	122	0	0	3	0.8	1.042	96.4	191.1	0.0	0	2.31	3	0	0	0	0	121	198	0	42
190.0	24.02	0.951	3	0	152	50.67	14	153	0	0	3	2.1	1.201	106.2	195.0	0.6	1	0.00	3	0	0	0	0	153	214	0	44
200.0	22.36	0.868	3	2	152	50.67	0	165	0	0	3	1.5	1.440	115.3	195.0	1.6	1	0.00	3	0	0	0	0	165	214	0	46
210.0	20.08	0.754	3	0	152	50.67	0	165	0	0	3	1.4	1.600	123.4	195.0	2.6	1	0.00	3	0	0	0	0	165	214	0	46
220.0	17.40	0.620	3	0	152	50.67	0	165	0	0	3	1.1	1.600	130.3	195.0	3.6	1	0.00	3	0	0	0	0	165	214	0	46
230.0	14.59	0.479	3	1	152	50.67	0	165	0	0	3	0.8	1.597	135.8	195.0	5.0	1	0.00	3	0	0	0	0	165	214	0	46
240.0	11.91	0.346	3	2	152	50.67	0	165	0	0	3	0.7	1.594	139.9	195.0	7.4	1	0.00	3	0	0	0	0	165	214	0	46
250.0	9.63	0.250	3	3	152	50.67	0	165	0	0	3	0.6	1.568	142.8	195.0	11.3	1	0.00	3	0	0	0	0	165	214	0	46
260.0	7.98	0.250	3	2	152	50.67	0	165	0	0	3	0.6	1.538	145.3	195.0	17.1	1	0.00	3	0	0	0	0	165	214	0	46
270.0	7.11	0.250	3	2	152	50.67	0	165	0	0	3	0.5	1.527	147.8	195.0	24.5	1	0.00	3	0	0	0	0	165	214	0	46
280.0	7.11	0.250	3	0	152	50.67	0	165	0	0	3	0.4	1.533	150.3	195.0	32.7	1	0.00	3	0	0	0	0	165	214	0	46
290.0	7.98	0.250	3	2	152	50.67	0	165	0	0	3	0.9	1.584	152.8	195.0	40.1	1	0.00	3	0	0	0	0	165	214	0	46
300.0	9.64	0.250	3	3	152	50.67	0	165	0	0	3	0.8	1.589	155.3	195.0	45.9	1	0.00	3	0	0	0	0	165	214	0	46
310.0	11.92	0.346	3	2	152	50.67	0	165	0	0	3	0.3	1.573	158.2	195.0	49.8	1	0.00	3	0	0	0	0	165	214	0	46
320.0	14.60	0.480	3	2	152	50.67	0	165	0	0	3	1.1	1.554	162.3	195.0	52.2	1	0.00	3	0	0	0	0	145	214	0	46
330.0	17.41	0.621	3	2	152	50.67	0	165	66	0	0	0.7	1.518	167.8	195.0	53.6	1	0.00	3	0	0	0	3	89	214	0	46
340.0	20.09	0.755	3	0	152	50.67	0	165	112	0	0	1.9	1.531	174.7	195.0	54.6	1	0.00	3	0	0	0	3	45	214	0	46
350.0	22.37	0.868	3	1	152	50.67	0	156	141	0	0	0.8	1.566	182.8	5.8	0.0	0	0.00	3	0	0	0	3	12	214	9	46
360.0	24.02	0.951	3	1	152	50.67	0	105	105	0	0	0.7	1.527	192.0	15.8	0.0	0	0.00	3	0	0	0	9	0	214	60	46
370.0	24.89	0.995	3	0	152	50.67	0	52	52	0	0	1.4	1.600	201.7	25.8	0.0	0	0.00	3	0	0	0	12	0	214	113	46
380.0	24.89	0.994	3	1	152	50.67	0	22	22	0	0	0.9	1.596	211.7	35.8	0.0	0	0.00	3	0	0	0	12	0	214	143	46
390.0	24.02	0.951	3	0	152	50.67	0	9	9	0	0	1.4	1.600	221.5	45.8	0.0	0	0.00	3	0	0	0	12	0	214	156	46
400.0	22.36	0.868	3	1	152	50.67	0	3	3	0	0	1.8	1.596	230.6	55.8	0.0	0	0.00	3	0	0	0	12	0	214	162	46
410.0	20.08	0.754	3	1	152	50.67	0	2	2	0	0	2.0	1.600	238.7	65.8	0.0	0	0.00	3	0	0	0	12	0	214	163	46
420.0	17.40	0.620	3	0	152	50.67	0	1	1	0	0	1.4	1.600	245.6	75.8	0.0	0	0.00	3	0	0	0	12	0	214	164	46
430.0	14.58	0.479	3	3	152	50.67	0	0	0	0	0	0.7	1.598	251.1	85.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
440.0	11.91	0.345	3	3	152	50.67	0	0	0	0	0	0.7	1.595	255.2	95.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
450.0	9.63	0.250	3	2	152	50.67	0	0	0	0	0	0.9	1.599	258.1	105.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
460.0	7.98	0.250	3	2	152	50.67	0	0	0	0	0	1.2	1.600	260.6	115.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
470.0	7.11	0.250	3	0	152	50.67	0	0	0	0	0	0.7	1.594	263.1	125.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
480.0	7.11	0.250	3	2	152	50.67	0	0	0	0	0	1.5	1.572	265.6	135.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
490.0	7.99	0.250	3	3	152	50.67	0	0	0	0	0	0.4	1.542	268.1	145.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
500.0	9.64	0.250	3	2	152	50.67	0	0	0	0	0	0.3	1.515	270.6	155.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
510.0	11.93	0.346	3	3	152	50.67	0	0	0	0	0	1.3	1.481	273.5	165.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
520.0	14.60	0.480	3	3	152	50.67	0	0	0	0	0	0.3	1.489	277.6	175.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
530.0	17.42	0.621	3	3	152	50.67	0	0	0	0	0	0.2	1.448	283.1	185.8	0.0	0	0.00	3	0	0	0	12	0	214	165	46
540.0	20.10	0.755	3	3	152	50.67	19	0	0	0	3	1.2	1.424	290.0	195.0	0.1	1	0.00	3	0	0	0	12	0	235	165	48
550.0	22.37	0.869	3	1	152	50.67	1	14	0	0	3	1.6	1.600	298.2	195.0	1.1	1	0.00	3	0	0	0	12	14	235	165	52
560.0	24.03	0.951	3	0	152	50.67	0	15	0	0	3	0.7	1.599	307.3	195.0	2.1	1	0.00	3	0	0	0	12	15	235	165	52
570.1	24.89	0.995	3	0	152	50.67	0	15	0	0	3	1.5	1.600	317.0	195.0	3.1	1	0.00	3	0	0	0	12	15	235	165	52
580.1	24.89	0.994	3	1	152	50.67	0	15	0	0	3	1.0	1.600	327.0	195.0	4.1	1	0.00	3	0	0	0	12	15	235	165	52
590.1	24.01	0.951	3	1	152	50.67	0	15	0	0	3	1.0	1.594	336.8	195.0	5.1	1	0.00	3	0	0	0	12	15	235	165	52
600.1	22.35	0.868	3	0	152	50.67	0	15	0	0	3	1.2	1.600	345.9	195.0	6.1	1	0.00	3	0	0	0	12	15	235	165	52
610.1	20.07	0.754	3	0	152	50.67	0	15	0	0	3	1.5	1.600	354.0	195.0	7.1	1	0.00	3	0	0	0	12	15	235	165	52
620.1	17.39	0.620	3	0	152	50.67	0	15	0	0	3	1.2	1.600	360.9	195.0	8.1	1	0.00	3	0	0	0	12	15	235	165	52
630.1	14.58	0.479	3	1	152	50.67	0	15	0	0	3	0.9	1.600	366.4	195.0	9.5	1	0.00	3	0	0	0	12	15	235	165	52
640.1	11.90	0.345	3	2	152	50.67	0	15	0	0	3	0.7	1.596	370.5	195.0	11.9	1	0.00	3	0	0	0	12	15	235	165	52
650.1	9.62	0.250	3	1	152	50.67	0	15	0	0	3	0.5	1.594	373.4	195.0	15.8	1	0.00	3	0	0	0	12	15	235	165	52
660.1	7.97	0.250	3	1	152	50.67	0	15	0	0	3	0.2	1.548	375.9	195.0	21.6	1	0.00	3	0	0	0	12	15	235	165	52
670.1	7.11	0.250	3	2	152	50.67	0	15	0	0	3	0.4	1.550	378.4	195.0	29.0	1	0.00	3	0	0	0	12	15	235	165	52
680.1	7.11	0.250	3	3	152	50.67	0	15	0	0	3	0.4	1.501	380.9	195.0	37.2	1	0.00	3	0	0	0	12	15	235	165	52
690.1	7.99	0.250	3	3	152	50.67	0	15	0	0	3	0.4	1.462	383.4	195.0	44.6	1	0.00	3	0	0	0	12	15	235	165	52
700.1	9.65	0.250	3	3	152	50.67	0	15	0	0	3	0.4	1.412	385.9	195.0	50.4	1	0.00	3	0	0	0	12	15	235	165	52
710.1	11.93	0.347	3	2	152	50.67	0	15	0	0	3	0.4	1.365	388.8	195.0	54.3	1	0.00	3	0	0	0	12	15	235	165	52
720.1	14.61	0.481	3	2	152	50.67	0	15	12	0	0	0.4	1.293	392.9	7.6	0.0	0	0.00	3	0	0	0	15	0	235	165	52
730.1	17.43	0.621	3	3	152	50.67	0	15	14	0	0	0.3	1.216	398.4	17.6	0.0	0	0.00	3	0	0	0	18	0	235	165	52
740.1	20.10	0.755	3	2	152	50.67	0	15	15	0	0	0.8	1.344	405.3	27.6	0.0	0	0.00	3	0	0	0	18	0	235	165	52
750.1	22.38	0.869	3	0	152	50.67	0	11	11	0	0	0.8	1.396	413.5	37.6	0.0	0	0.00	3	0	0	0	18	0	235	169	52
760.1	24.03	0.951	3	0	152	50.67	0	4	4	0	0	1.9	1.585	422.6	47.6	0.0	0	0.00	3	0	0	0	18	0	235	176	52
770.1	24.89	0.995	3	0	152	50.67	0	1	1	0	0	1.1	1.600	432.4	57.6	0.0	0	0.00	3	0	0	0	18	0	235	179	52
780.1	24.89	0.994	3	1	152	50.67	41	0	0	0	9	1.8	1.593	442.3	67.6	0.0	0	2.87	3	0	0	0	18	0	276	180	52
790.1	24.01	0.950	3	2	152	50.67	23	42	19	0	0	0.9	1.600	452.1	77.6	0.0	0	0.00	3	0	0	0	27	0	300	180	52
800.1	22.35	0.867	3	0	152	50.67	0	64	57	1	0	0.9	1.593	461.2	87.6	0.0	0	0.00	3	0	0	0	33	0	300	180	52
810.1	20.07	0.753	3	2	152	50.67	0	61	61	1	0	1.2	1.600	469.4	97.6	0.0	0	0.00	3	0	0	0	33	0	300	183	52
820.1	17.39	0.619	4	2	152	38.00	0	36	36	0	0	3.2	1.377	476.2	107.6	0.0	0	0.00	4	0	0	0	33	0	300	208	52
830.1	14.57	0.478	4	1	152	38.00	0	16	16	0	0	1.7	1.436	481.7	117.6	0.0	0	0.00	4	0	0	0	33	0	300	228	52
840.1	11.89	0.345	4	3	152	38.00	0	8	8	0	0	1.7	1.436	485.8	127.6	0.0	0	0.00	4	0	0	0	33	0	300	236	52
850.1	9.62	0.250	4	3	152	38.00	0	1	1	0	0	1.2	1.436	488.7	137.6	0.0	0	0.00	4	0	0	0	33	0	300	243	52
860.1	7.97	0.250	4	2	152	38.00	1	0	0	0	3	1.0	1.436	491.2	147.6	0.0	0	0.00	4	0	0	0	33	0	301	244	52
870.1	7.11	0.250	4	1	152	38.00	1	0	0	0	3	1.1	1.436	493.7	157.6	0.0	0	0.00	4	0	0	0	33	0	301	244	52
880.1	7.11	0.250	4	3	152	38.00	1	0	0	0	3	0.9	1.420	496.2	167.6	0.0	0	0.00	4	0	0	0	33	0	301	244	52
890.1	7.99	0.250	4	3	152	38.00	1	0	0	0	3	1.6	1.409	498.7	177.6	0.0	0	0.00	4	0	0	0	33	0	301	244	52
900.1	9.65	0.250	4	3	152	38.00	2	0	0	0	3	1.1	1.409	501.2	187.6	0.0	0	0.33	4	0	0	0	33	0	302	244	52
910.1	11.94	0.347	4	3	152	38.00	3	0	0	0	3	0.9	1.410	504.1	195.0	0.9	1	0.00	4	0	0	0	33	0	305	244	54
920.1	14.62	0.481	4	2	152	38.00	0	1	0	0	3	1.9	1.405	508.2	195.0	3.2	1	0.00	4	0	0	0	33	1	305	244	56
930.1	17.43	0.622	4	3	152	38.00	0	1	0	0	3	1.8	1.457	513.7	195.0	4.6	1	0.00	4	0	0	0	33	1	305	244	56
940.1	20.11	0.755	4	3	152	38.00	0	1	0	0	6	0.8	1.469	520.6	195.0	5.6	1	0.00	4	0	0	0	33	1	305	244	56
950.1	22.38	0.869	3	3	152	50.67	0	1	0	0	15	0.3	1.323	528.8	195.0	6.6	1	0.00	4	1	0	0	33	1	305	244	56
960.1	24.03	0.952	2	1	152	76.00	0	1	0	0	15	0.8	1.418	537.9	195.0	7.6	1	0.00	4	2	0	0	33	1	305	244	56
970.1	24.89	0.995	2	2	152	76.00	0	1	0	0	15	1.5	1.463	547.7	195.0	8.6	1	0.00	4	2	0	0	33	1	305	244	56
980.1	24.88	0.994	2	1	152	76.00	0	1	0	0	15	0.7	1.600	557.7	195.0	9.6	1	0.00	4	2	0	0	33	1	305	244	56
990.1	24.01	0.950	2	1	152	76.00	0	1	0	0	18	1.4	1.600	567.4	195.0	10.6	1	0.00	4	2	0	0	33	1	305	244	56
1000.1	22.34	0.867	2	1	152	76.00	0	1	0	0	18	0.9	1.600	576.5	195.0	11.6	1	0.00	4	2	0	0	33	1	305	244	56
1010.1	20.06	0.753	2	2	152	76.00	0	1	0	0	21	0.8	1.600	584.7	195.0	12.6	1	0.00	4	2	0	0	33	1	305	244	56
