# formica run 1  seed 20260829  season 16/9/-25  year 200  ended: colony extinct  at day 1500.0
# events:

day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals	diap	laid	bDied	bEaten
0.0	22.36	0.868	0	0	152	152.00	0	0	0	0	0	0.0	0.000	0.0	150.0	0.0	0	0.00	0	0	0	0	0	0	0	0	0
10.0	20.09	0.754	0	0	152	152.00	22	0	0	0	0	0.0	0.000	8.1	150.0	0.0	0	0.00	0	0	0	0	0	0	22	0	0
20.0	17.41	0.620	0	0	152	152.00	3	18	0	0	0	0.0	0.000	15.0	150.0	0.0	0	3.09	0	0	0	0	0	0	31	0	10
30.0	14.59	0.480	0	0	152	152.00	0	11	0	0	0	0.0	0.000	20.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	33
40.0	11.91	0.346	0	0	152	152.00	0	5	0	0	0	0.0	0.000	24.6	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	39
50.0	9.64	0.250	0	0	152	152.00	0	2	0	0	0	0.0	0.000	27.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	42
60.0	7.98	0.250	0	0	152	152.00	0	1	0	0	0	0.0	0.000	30.0	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	43
70.0	7.11	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	32.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
80.0	7.11	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	35.0	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
90.0	7.98	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	37.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
100.0	9.64	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	40.0	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
110.0	11.92	0.346	0	0	152	152.00	0	0	0	0	0	0.0	0.000	42.9	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
120.0	14.60	0.480	0	0	152	152.00	0	0	0	0	0	0.0	0.000	47.0	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
130.0	17.41	0.621	0	0	152	152.00	0	0	0	0	0	0.0	0.000	52.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
140.0	20.09	0.754	0	0	152	152.00	0	0	0	0	0	0.0	0.000	59.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
150.0	22.37	0.868	0	0	152	152.00	0	0	0	0	0	0.0	0.000	67.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
160.0	24.02	0.951	0	0	152	152.00	0	0	0	0	0	0.0	0.000	76.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
170.0	24.89	0.994	0	0	152	152.00	0	0	0	0	0	0.0	0.000	86.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
180.0	24.89	0.994	0	0	152	152.00	0	0	0	0	0	0.0	0.000	96.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
190.0	24.02	0.951	0	0	152	152.00	0	0	0	0	0	0.0	0.000	106.2	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
200.0	22.36	0.868	0	0	152	152.00	0	0	0	0	0	0.0	0.000	115.3	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
210.0	20.08	0.754	0	0	152	152.00	0	0	0	0	0	0.0	0.000	123.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
220.0	17.40	0.620	0	0	152	152.00	0	0	0	0	0	0.0	0.000	130.3	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
230.0	14.59	0.479	0	0	152	152.00	0	0	0	0	0	0.0	0.000	135.8	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
240.0	11.91	0.346	0	0	152	152.00	0	0	0	0	0	0.0	0.000	139.9	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
250.0	9.63	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	142.8	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
260.0	7.98	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	145.3	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
270.0	7.11	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	147.8	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
280.0	7.11	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	150.3	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
290.0	7.98	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	152.8	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
300.0	9.64	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	155.3	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
310.0	11.92	0.346	0	0	152	152.00	0	0	0	0	0	0.0	0.000	158.2	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
320.0	14.60	0.480	0	0	152	152.00	0	0	0	0	0	0.0	0.000	162.3	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
330.0	17.41	0.621	0	0	152	152.00	0	0	0	0	0	0.0	0.000	167.8	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
340.0	20.09	0.755	0	0	152	152.00	0	0	0	0	0	0.0	0.000	174.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
350.0	22.37	0.868	0	0	152	152.00	0	0	0	0	0	0.0	0.000	182.8	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
360.0	24.02	0.951	0	0	152	152.00	0	0	0	0	0	0.0	0.000	192.0	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
370.0	24.89	0.995	0	0	152	152.00	0	0	0	0	0	0.0	0.000	201.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
380.0	24.89	0.994	0	0	152	152.00	0	0	0	0	0	0.0	0.000	211.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
390.0	24.02	0.951	0	0	152	152.00	0	0	0	0	0	0.0	0.000	221.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
400.0	22.36	0.868	0	0	152	152.00	0	0	0	0	0	0.0	0.000	230.6	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
410.0	20.08	0.754	0	0	152	152.00	0	0	0	0	0	0.0	0.000	238.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
420.0	17.40	0.620	0	0	152	152.00	0	0	0	0	0	0.0	0.000	245.6	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
430.0	14.58	0.479	0	0	152	152.00	0	0	0	0	0	0.0	0.000	251.1	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
440.0	11.91	0.345	0	0	152	152.00	0	0	0	0	0	0.0	0.000	255.2	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
450.0	9.63	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	258.1	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
460.0	7.98	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	260.6	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
470.0	7.11	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	263.1	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
480.0	7.11	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	265.6	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
490.0	7.99	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	268.1	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
500.0	9.64	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	270.6	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
510.0	11.93	0.346	0	0	152	152.00	0	0	0	0	0	0.0	0.000	273.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
520.0	14.60	0.480	0	0	152	152.00	0	0	0	0	0	0.0	0.000	277.6	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
530.0	17.42	0.621	0	0	152	152.00	0	0	0	0	0	0.0	0.000	283.1	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
540.0	20.10	0.755	0	0	152	152.00	0	0	0	0	0	0.0	0.000	290.0	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
550.0	22.37	0.869	0	0	152	152.00	0	0	0	0	0	0.0	0.000	298.2	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
560.0	24.03	0.951	0	0	152	152.00	0	0	0	0	0	0.0	0.000	307.3	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
570.1	24.89	0.995	0	0	152	152.00	0	0	0	0	0	0.0	0.000	317.0	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
580.1	24.89	0.994	0	0	152	152.00	0	0	0	0	0	0.0	0.000	327.0	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
590.1	24.01	0.951	0	0	152	152.00	0	0	0	0	0	0.0	0.000	336.8	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
600.1	22.35	0.868	0	0	152	152.00	0	0	0	0	0	0.0	0.000	345.9	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
610.1	20.07	0.754	0	0	152	152.00	0	0	0	0	0	0.0	0.000	354.0	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
620.1	17.39	0.620	0	0	152	152.00	0	0	0	0	0	0.0	0.000	360.9	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
630.1	14.58	0.479	0	0	152	152.00	0	0	0	0	0	0.0	0.000	366.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
640.1	11.90	0.345	0	0	152	152.00	0	0	0	0	0	0.0	0.000	370.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
650.1	9.62	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	373.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
660.1	7.97	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	375.9	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
670.1	7.11	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	378.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
680.1	7.11	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	380.9	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
690.1	7.99	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	383.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
700.1	9.65	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	385.9	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
710.1	11.93	0.347	0	0	152	152.00	0	0	0	0	0	0.0	0.000	388.8	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
720.1	14.61	0.481	0	0	152	152.00	0	0	0	0	0	0.0	0.000	392.9	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
730.1	17.43	0.621	0	0	152	152.00	0	0	0	0	0	0.0	0.000	398.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
740.1	20.10	0.755	0	0	152	152.00	0	0	0	0	0	0.0	0.000	405.3	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
750.1	22.38	0.869	0	0	152	152.00	0	0	0	0	0	0.0	0.000	413.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
760.1	24.03	0.951	0	0	152	152.00	0	0	0	0	0	0.0	0.000	422.6	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
770.1	24.89	0.995	0	0	152	152.00	0	0	0	0	0	0.0	0.000	432.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
780.1	24.89	0.994	0	0	152	152.00	0	0	0	0	0	0.0	0.000	442.3	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
790.1	24.01	0.950	0	0	152	152.00	0	0	0	0	0	0.0	0.000	452.1	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
800.1	22.35	0.867	0	0	152	152.00	0	0	0	0	0	0.0	0.000	461.2	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
810.1	20.07	0.753	0	0	152	152.00	0	0	0	0	0	0.0	0.000	469.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
820.1	17.39	0.619	0	0	152	152.00	0	0	0	0	0	0.0	0.000	476.2	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
830.1	14.57	0.478	0	0	152	152.00	0	0	0	0	0	0.0	0.000	481.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
840.1	11.89	0.345	0	0	152	152.00	0	0	0	0	0	0.0	0.000	485.8	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
850.1	9.62	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	488.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
860.1	7.97	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	491.2	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
870.1	7.11	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	493.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
880.1	7.11	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	496.2	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
890.1	7.99	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	498.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
900.1	9.65	0.250	0	0	152	152.00	0	0	0	0	0	0.0	0.000	501.2	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
910.1	11.94	0.347	0	0	152	152.00	0	0	0	0	0	0.0	0.000	504.1	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
920.1	14.62	0.481	0	0	152	152.00	0	0	0	0	0	0.0	0.000	508.2	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
930.1	17.43	0.622	0	0	152	152.00	0	0	0	0	0	0.0	0.000	513.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
940.1	20.11	0.755	0	0	152	152.00	0	0	0	0	0	0.0	0.000	520.6	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
950.1	22.38	0.869	0	0	152	152.00	0	0	0	0	0	0.0	0.000	528.8	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
960.1	24.03	0.952	0	0	152	152.00	0	0	0	0	0	0.0	0.000	537.9	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
970.1	24.89	0.995	0	0	152	152.00	0	0	0	0	0	0.0	0.000	547.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
980.1	24.88	0.994	0	0	152	152.00	0	0	0	0	0	0.0	0.000	557.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
990.1	24.01	0.950	0	0	152	152.00	0	0	0	0	0	0.0	0.000	567.4	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
1000.1	22.34	0.867	0	0	152	152.00	0	0	0	0	0	0.0	0.000	576.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
1010.1	20.06	0.753	0	0	152	152.00	0	0	0	0	0	0.0	0.000	584.7	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
1020.1	17.38	0.619	0	0	152	152.00	0	0	0	0	0	0.0	0.000	591.5	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
1030.1	14.56	0.478	0	0	152	152.00	0	0	0	0	0	0.0	0.000	597.0	150.0	0.0	0	0.00	0	0	0	0	0	0	44	0	44
