# formica run 1  seed 20260829  season 16/9/-25  year 300  ended: year sweep  at day 1500.0
# events:
# 88.5	DORMANCY at 9.5C
# 178.0	REACTIVATION at 12.0C
# 373.0	DORMANCY at 11.8C
# 478.0	REACTIVATION at 12.0C
# 673.0	DORMANCY at 11.8C
# 778.0	REACTIVATION at 12.0C
# 973.0	DORMANCY at 11.8C
# 1078.0	REACTIVATION at 12.0C
# 1273.0	DORMANCY at 11.8C
# 1378.0	REACTIVATION at 12.0C
day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals	diap	laid	bDied	bEaten
0.0	23.79	0.940	0	0	152	152.00	0	0	0	0	0	0.0	0.000	0.0	150.0	0.0	0	0.00	0	0	0	0	0	0	0	0	0
10.0	22.69	0.884	0	0	152	152.00	22	0	0	0	0	0.0	0.000	9.1	150.0	0.0	0	0.00	0	0	0	0	0	0	22	0	0
20.0	21.29	0.814	0	0	152	152.00	7	14	0	0	0	0.0	0.000	17.6	150.0	0.0	0	5.32	0	0	0	0	0	0	34	0	13
30.0	19.66	0.733	0	0	152	152.00	4	0	0	14	0	0.0	0.000	25.4	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	27
40.0	17.87	0.644	0	0	152	152.00	0	4	0	12	0	0.0	0.000	32.3	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	29
50.0	16.00	0.550	11	5	152	13.82	0	4	0	0	0	1.5	0.389	38.2	156.5	0.0	0	0.00	11	0	0	0	0	4	45	0	30
60.0	14.13	0.456	11	11	152	13.82	0	4	0	0	0	2.7	0.477	43.3	166.5	0.0	0	0.00	11	0	0	0	0	4	45	0	30
70.0	12.34	0.367	11	11	152	13.82	0	4	0	0	0	3.1	0.527	47.4	176.5	0.0	0	0.00	11	0	0	0	0	4	45	0	30
80.0	10.71	0.285	11	8	152	13.82	0	4	0	0	0	3.6	0.608	50.6	186.5	0.0	0	0.00	11	0	0	0	0	4	45	0	30
90.0	9.31	0.250	11	8	152	13.82	0	4	0	0	0	1.9	0.649	53.2	195.0	0.7	1	0.00	11	0	0	0	0	4	45	0	30
100.0	8.20	0.250	11	9	152	13.82	0	4	0	0	0	4.1	0.736	55.7	195.0	6.5	1	0.00	11	0	0	0	0	4	45	0	30
110.0	7.44	0.250	11	9	152	13.82	0	4	0	0	0	2.4	0.899	58.2	195.0	13.5	1	0.00	11	0	0	0	0	4	45	0	30
120.0	7.05	0.250	11	7	152	13.82	0	4	0	0	0	2.3	0.964	60.7	195.0	21.4	1	0.00	11	0	0	0	0	4	45	0	30
130.0	7.05	0.250	11	6	152	13.82	0	4	0	0	0	1.7	1.063	63.2	195.0	29.6	1	0.00	11	0	0	0	0	4	45	0	30
140.0	7.44	0.250	11	10	152	13.82	0	4	0	0	0	3.8	1.085	65.7	195.0	37.4	1	0.00	11	0	0	0	0	4	45	0	30
150.0	8.21	0.250	11	9	152	13.82	0	4	0	0	0	1.9	1.063	68.2	195.0	44.4	1	0.00	11	0	0	0	0	4	45	0	30
160.0	9.31	0.250	11	9	152	13.82	0	4	0	0	0	2.1	1.071	70.7	195.0	50.2	1	0.00	11	0	0	0	0	4	45	0	30
170.0	10.71	0.286	11	10	152	13.82	0	4	0	0	0	2.4	1.054	73.3	195.0	54.7	1	0.00	11	0	0	0	0	4	45	0	30
180.0	12.34	0.367	11	10	152	13.82	0	4	0	0	0	3.3	1.069	76.6	2.0	0.0	0	0.00	11	0	0	0	0	0	45	0	30
190.0	14.13	0.457	11	7	152	13.82	0	4	4	0	0	3.0	1.095	80.7	12.0	0.0	0	0.00	11	0	0	0	0	0	45	0	30
200.0	16.00	0.550	11	9	152	13.82	0	4	4	0	0	2.4	1.096	85.7	22.0	0.0	0	0.00	11	0	0	0	0	0	45	0	30
210.0	17.87	0.644	11	8	152	13.82	0	4	4	0	0	2.0	1.040	91.7	32.0	0.0	0	0.00	11	0	0	0	0	0	45	0	30
220.0	19.66	0.733	11	6	152	13.82	1	3	3	1	0	5.3	1.395	98.6	42.0	0.0	0	0.00	11	0	0	0	12	0	46	0	30
230.0	21.29	0.815	11	5	152	13.82	30	2	1	2	6	5.8	1.575	106.3	52.0	0.0	0	6.96	11	0	0	0	16	0	76	1	30
240.0	22.69	0.884	13	0	152	11.69	35	35	1	1	3	8.4	1.433	114.8	62.0	0.0	0	3.33	13	0	0	0	31	0	116	2	30
250.0	23.80	0.940	13	2	152	11.69	0	64	47	8	0	8.9	1.529	124.0	72.0	0.0	0	0.00	13	0	0	0	58	0	117	2	30
260.0	24.56	0.978	20	10	152	7.60	0	55	53	5	0	12.5	1.176	133.6	82.0	0.0	0	0.00	20	0	0	0	85	0	117	7	30
270.0	24.95	0.998	25	13	152	6.08	0	35	35	6	0	13.7	1.186	143.5	92.0	0.0	0	0.00	25	0	0	0	133	0	117	21	30
280.0	24.95	0.998	31	6	152	4.90	1	7	5	4	0	18.7	1.216	153.5	102.0	0.0	0	0.00	31	0	0	0	166	0	118	45	30
290.0	24.56	0.978	35	10	152	4.34	24	4	1	2	0	20.3	1.304	163.3	112.0	0.0	0	0.00	35	0	0	0	201	0	142	47	30
300.0	23.79	0.940	37	5	152	4.11	36	28	0	3	6	22.4	1.433	173.0	122.0	0.0	0	5.14	37	0	0	0	236	0	182	48	30
310.0	22.69	0.884	40	8	152	3.80	33	48	0	15	0	23.3	1.488	182.1	132.0	0.0	0	0.00	40	0	0	0	384	0	214	48	30
320.0	21.29	0.814	43	20	152	3.53	6	42	15	45	0	27.5	1.490	190.6	142.0	0.0	0	0.00	43	0	0	0	441	0	214	48	30
330.0	19.66	0.733	84	31	152	1.81	31	39	0	13	61	47.2	1.138	198.3	152.0	0.0	0	5.56	84	0	0	0	535	39	245	48	30
340.0	17.87	0.643	96	14	152	1.58	40	47	0	1	78	52.1	1.422	205.2	162.0	0.0	0	2.41	96	0	0	0	536	46	262	48	30
350.0	16.00	0.550	97	9	231	2.38	46	85	0	0	108	59.6	1.590	211.2	172.0	0.0	0	2.00	97	0	81	2	536	85	306	48	30
360.0	14.12	0.456	97	5	242	2.49	39	111	0	0	112	57.5	1.600	216.2	182.0	0.0	0	2.15	97	0	94	4	539	111	325	48	30
370.0	12.33	0.367	97	10	237	2.44	38	134	0	0	118	55.9	1.600	220.3	192.0	0.0	0	1.72	97	0	94	9	539	134	347	48	30
380.0	10.71	0.285	97	16	235	2.42	28	146	0	0	132	58.8	1.600	223.6	195.0	2.5	1	0.00	97	0	94	11	546	146	352	48	33
390.0	9.31	0.250	97	8	232	2.39	15	152	0	0	137	58.8	1.600	226.2	195.0	7.0	1	0.00	97	0	94	14	562	152	352	48	40
400.0	8.20	0.250	97	10	232	2.39	10	153	0	0	142	55.2	1.600	228.7	195.0	12.8	1	0.00	97	0	94	14	563	153	352	48	44
410.0	7.44	0.250	97	19	232	2.39	3	156	0	0	140	57.0	1.600	231.2	195.0	19.8	1	0.00	97	0	94	14	567	156	352	48	48
420.0	7.05	0.250	97	7	232	2.39	1	158	0	0	142	59.9	1.600	233.7	195.0	27.6	1	0.00	97	0	94	14	568	158	352	48	48
430.0	7.05	0.250	97	6	232	2.39	1	158	0	0	139	53.3	1.600	236.2	195.0	35.8	1	0.00	97	0	94	14	572	158	352	48	48
440.0	7.44	0.250	97	33	232	2.39	0	159	0	0	139	49.2	1.600	238.7	195.0	43.6	1	0.00	97	0	94	14	572	159	352	48	48
450.0	8.21	0.250	97	21	232	2.39	0	159	0	0	138	53.0	1.600	241.2	195.0	50.6	1	0.00	97	0	94	14	578	159	352	48	48
460.0	9.32	0.250	97	31	232	2.39	0	159	0	0	138	59.6	1.599	243.7	195.0	56.4	1	0.00	97	0	94	14	578	159	352	48	48
470.0	10.72	0.286	97	10	231	2.38	0	159	1	0	138	65.4	1.600	246.3	195.0	60.9	1	0.00	97	0	94	15	578	159	352	48	48
480.0	12.35	0.367	97	17	224	2.31	9	157	8	2	132	59.3	1.600	249.5	2.0	0.0	0	4.10	97	0	94	22	594	6	361	48	48
490.0	14.14	0.457	97	12	223	2.30	19	148	91	11	33	61.5	1.600	253.6	12.0	0.0	0	0.15	97	0	94	23	769	6	371	48	48
