# formica run 1  seed 20260829  season 16/9/-25  year 365  ended: year sweep  at day 1500.0
# events:
# 81.5	DORMANCY at 13.7C
# 222.0	REACTIVATION at 12.0C
# 417.0	DORMANCY at 18.2C
# 587.0	REACTIVATION at 12.0C
# 782.0	DORMANCY at 18.2C
# 952.0	REACTIVATION at 12.0C
# 1147.0	DORMANCY at 18.2C
# 1317.0	REACTIVATION at 12.0C
day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals	diap	laid	bDied	bEaten
0.0	24.18	0.959	0	0	152	152.00	0	0	0	0	0	0.0	0.000	0.0	150.0	0.0	0	0.00	0	0	0	0	0	0	0	0	0
10.0	23.42	0.921	0	0	152	152.00	20	2	0	0	0	0.0	0.000	9.4	150.0	0.0	0	0.00	0	0	0	0	0	0	22	0	0
20.0	22.43	0.872	0	0	152	152.00	3	19	0	0	0	0.0	0.000	18.4	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	23
30.0	21.26	0.813	0	0	152	152.00	0	0	0	15	0	0.0	0.000	26.8	150.0	0.0	0	0.00	0	0	0	0	0	0	47	0	32
40.0	19.93	0.746	15	1	152	10.13	0	0	0	0	0	5.3	0.341	34.6	153.5	0.0	0	0.00	15	0	0	0	0	0	47	0	32
50.0	18.48	0.674	15	9	152	10.13	36	0	0	0	3	10.3	0.951	41.7	163.5	0.0	0	2.85	15	0	0	0	0	0	83	0	32
60.0	16.97	0.598	15	1	152	10.13	32	24	0	0	12	8.8	1.498	48.1	173.5	0.0	0	4.52	15	0	0	0	0	24	103	0	32
70.0	15.42	0.521	15	8	152	10.13	42	44	0	0	15	7.2	1.595	53.7	183.5	0.0	0	1.21	15	0	0	0	0	44	133	0	32
80.0	13.89	0.444	15	4	152	10.13	36	68	0	0	15	7.9	1.600	58.5	193.5	0.0	0	2.27	15	0	0	0	0	68	151	0	32
90.0	12.42	0.371	15	4	152	10.13	22	85	0	0	15	8.5	1.599	62.6	195.0	2.1	1	0.00	15	0	0	0	0	85	155	0	33
100.0	11.06	0.303	15	6	152	10.13	9	92	0	0	21	7.5	1.600	65.9	195.0	5.3	1	0.00	15	0	0	0	0	92	155	0	39
110.0	9.84	0.250	15	7	152	10.13	0	97	0	0	21	7.7	1.600	68.7	195.0	9.4	1	0.00	15	0	0	0	0	97	155	0	43
120.0	8.81	0.250	15	10	152	10.13	0	97	0	0	24	6.5	1.597	71.2	195.0	14.6	1	0.00	15	0	0	0	0	97	155	0	43
130.0	7.99	0.250	15	7	152	10.13	0	97	0	0	24	6.4	1.599	73.7	195.0	20.8	1	0.00	15	0	0	0	0	97	155	0	43
140.0	7.40	0.250	15	9	152	10.13	0	97	0	0	24	7.4	1.600	76.2	195.0	27.9	1	0.00	15	0	0	0	0	97	155	0	43
150.0	7.07	0.250	15	3	152	10.13	0	97	0	0	27	6.8	1.600	78.7	195.0	35.8	1	0.00	15	0	0	0	0	97	155	0	43
160.0	7.01	0.250	15	2	152	10.13	0	97	0	0	30	7.3	1.600	81.2	195.0	43.9	1	0.00	15	0	0	0	0	97	155	0	43
170.0	7.21	0.250	15	2	152	10.13	0	97	0	0	30	6.9	1.599	83.7	195.0	52.0	1	0.00	15	0	0	0	0	97	155	0	43
180.0	7.67	0.250	15	8	152	10.13	0	97	0	0	30	5.3	1.593	86.2	195.0	59.5	1	0.00	15	0	0	0	0	97	155	0	43
190.0	8.37	0.250	15	6	152	10.13	0	97	0	0	33	7.7	1.599	88.7	195.0	66.2	1	0.00	15	0	0	0	0	97	155	0	43
200.0	9.30	0.250	15	6	152	10.13	0	97	0	0	33	8.1	1.597	91.2	195.0	71.9	1	0.00	15	0	0	0	0	97	155	0	43
210.0	10.43	0.272	15	1	152	10.13	0	97	0	0	36	8.8	1.600	93.7	195.0	76.6	1	0.00	15	0	0	0	0	97	155	0	43
220.0	11.73	0.336	15	1	152	10.13	0	97	0	0	36	8.7	1.600	96.7	195.0	80.2	1	0.00	15	0	0	0	0	97	155	0	43
230.0	13.15	0.407	15	3	152	10.13	16	97	61	0	0	10.0	1.600	100.5	8.0	0.0	0	0.00	15	0	0	0	38	0	171	0	43
240.0	14.65	0.483	15	4	152	10.13	15	98	97	0	0	7.7	1.600	104.9	18.0	0.0	0	0.00	15	0	0	0	38	0	171	0	43
250.0	16.20	0.560	15	4	152	10.13	0	113	107	0	0	7.8	1.600	110.1	28.0	0.0	0	0.00	15	0	0	0	53	0	171	0	43
260.0	17.73	0.637	15	3	152	10.13	0	108	107	1	0	8.1	1.600	116.1	38.0	0.0	0	0.00	15	0	0	0	62	0	171	4	43
270.0	19.22	0.711	15	3	152	10.13	0	62	62	5	0	8.4	1.600	122.8	48.0	0.0	0	0.00	15	0	0	0	77	0	171	46	43
280.0	20.61	0.781	19	1	152	8.00	0	25	24	2	0	10.6	1.394	130.3	58.0	0.0	0	0.00	19	0	0	0	92	0	171	82	43
290.0	21.87	0.843	21	4	152	7.24	0	11	11	1	0	12.3	1.439	138.4	68.0	0.0	0	0.00	21	0	0	0	98	0	171	95	43
300.0	22.95	0.898	22	0	152	6.91	3	4	4	0	3	15.1	1.517	147.2	78.0	0.0	0	16.41	22	0	0	0	101	0	174	102	43
310.0	23.83	0.941	22	0	152	6.91	5	8	2	0	0	13.6	1.575	156.4	88.0	0.0	0	0.00	22	0	0	0	108	0	182	104	43
320.0	24.47	0.974	22	9	152	6.91	3	10	6	2	0	12.5	1.589	165.9	98.0	0.0	0	0.00	22	0	0	0	120	0	185	105	43
330.0	24.87	0.993	24	7	152	6.33	38	8	1	6	2	14.5	1.508	175.8	108.0	0.0	0	2.32	24	0	0	0	163	0	224	105	43
340.0	25.00	1.000	30	10	152	5.07	12	43	9	7	0	17.6	1.326	185.8	118.0	0.0	0	0.00	30	0	0	0	201	0	240	105	43
350.0	24.87	0.993	37	19	152	4.11	1	32	7	22	0	23.1	1.280	195.7	128.0	0.0	0	0.00	37	0	0	0	318	0	241	106	43
360.0	24.47	0.974	58	11	152	2.62	37	4	0	31	12	29.3	1.097	205.6	138.0	0.0	0	4.80	58	0	0	0	392	0	279	106	43
370.0	23.82	0.941	87	49	152	1.75	26	39	3	5	0	49.9	1.102	215.2	148.0	0.0	0	0.00	87	0	0	0	431	0	306	106	43
380.0	22.95	0.897	91	20	153	1.68	43	65	0	1	86	55.5	1.410	224.4	158.0	0.0	0	1.64	91	0	1	0	439	65	349	106	43
390.0	21.86	0.843	92	6	204	2.22	39	106	0	0	102	57.9	1.577	233.1	168.0	0.0	0	3.14	92	0	52	0	442	106	386	106	43
400.0	20.61	0.780	92	3	254	2.76	38	139	0	0	111	58.8	1.600	241.2	178.0	0.0	0	3.17	92	0	102	0	454	139	418	106	43
410.0	19.21	0.711	92	6	271	2.95	38	168	0	0	120	57.6	1.600	248.7	188.0	0.0	0	3.12	92	0	119	0	457	168	447	106	43
420.0	17.73	0.636	92	0	271	2.95	32	198	0	0	126	58.8	1.600	255.4	195.0	0.3	1	0.00	92	0	119	0	457	198	472	106	44
