# formica run 1  seed 20260829  season 16/9/-25  year 450  ended: year sweep  at day 1500.0
# events:
# 78.2	DORMANCY at 17.2C
# 279.5	REACTIVATION at 12.0C
# 474.5	DORMANCY at 22.9C
# 729.5	REACTIVATION at 12.0C
# 924.5	DORMANCY at 22.9C
# 1179.5	REACTIVATION at 12.0C
# 1374.5	DORMANCY at 22.9C
day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals	diap	laid	bDied	bEaten
0.0	24.46	0.973	0	0	152	152.00	0	0	0	0	0	0.0	0.000	0.0	150.0	0.0	0	0.00	0	0	0	0	0	0	0	0	0
10.0	23.95	0.947	0	0	152	152.00	20	2	0	0	0	0.0	0.000	9.6	150.0	0.0	0	0.00	0	0	0	0	0	0	22	0	0
20.0	23.28	0.914	0	0	152	152.00	4	18	0	0	0	0.0	0.000	18.9	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	23
30.0	22.47	0.874	0	0	152	152.00	0	0	0	17	0	0.0	0.000	27.9	150.0	0.0	0	0.00	0	0	0	0	0	0	47	0	30
40.0	21.54	0.827	17	6	152	8.94	23	0	0	0	3	9.7	0.543	36.4	156.8	0.0	0	8.11	17	0	0	0	0	0	70	0	30
50.0	20.50	0.775	17	3	152	8.94	31	19	0	0	3	8.9	1.290	44.4	166.8	0.0	0	4.86	17	0	0	0	0	19	97	0	30
60.0	19.37	0.719	17	5	152	8.94	43	46	0	0	9	8.4	1.564	51.9	176.8	0.0	0	1.39	17	0	0	0	0	46	136	0	30
70.0	18.18	0.659	17	1	152	8.94	37	86	0	0	9	9.2	1.600	58.8	186.8	0.0	0	3.19	17	0	0	0	0	86	170	0	30
80.0	16.94	0.597	17	3	152	8.94	30	110	0	0	12	9.1	1.600	65.0	195.0	0.2	1	0.00	17	0	0	0	0	110	188	0	31
90.0	15.68	0.534	17	10	152	8.94	7	128	0	0	15	9.2	1.600	70.7	195.0	1.5	1	0.00	17	0	0	0	0	128	188	0	36
100.0	14.44	0.472	17	15	152	8.94	0	134	0	0	15	8.5	1.600	75.7	195.0	3.1	1	0.00	17	0	0	0	0	134	188	0	37
110.0	13.22	0.411	17	15	152	8.94	0	134	0	0	21	6.7	1.598	80.1	195.0	5.2	1	0.00	17	0	0	0	0	134	188	0	37
120.0	12.05	0.353	17	15	152	8.94	0	134	0	0	21	5.0	1.597	83.9	195.0	7.9	1	0.00	17	0	0	0	0	134	188	0	37
