# formica run 1  seed 20260828  season 16/9/-25  year 550  ended: year sweep  at day 1500.0
# events:
# 77.8	DORMANCY at 19.5C
# 347.2	REACTIVATION at 12.0C
# 542.2	DORMANCY at 24.8C
# 897.2	REACTIVATION at 12.0C
# 1092.2	DORMANCY at 24.8C
# 1447.2	REACTIVATION at 12.0C
day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals	diap	laid	bDied	bEaten
0.0	24.64	0.982	0	0	152	152.00	0	0	0	0	0	0.0	0.000	0.0	150.0	0.0	0	0.00	0	0	0	0	0	0	0	0	0
10.0	24.29	0.965	0	0	152	152.00	21	1	0	0	0	0.0	0.000	9.7	150.0	0.0	0	0.00	0	0	0	0	0	0	22	0	0
20.0	23.84	0.942	0	0	152	152.00	7	15	0	0	0	0.0	0.000	19.3	150.0	0.0	0	0.00	0	0	0	0	0	0	40	0	18
30.0	23.28	0.914	0	0	152	152.00	0	5	0	14	0	0.0	0.000	28.6	150.0	0.0	0	0.00	0	0	0	0	0	0	45	0	26
40.0	22.63	0.882	13	6	152	11.69	0	5	0	0	0	8.8	0.535	37.5	157.2	0.0	0	0.00	13	0	0	0	0	5	45	0	27
50.0	21.89	0.845	13	2	152	11.69	41	5	0	0	9	8.7	1.192	46.2	167.2	0.0	0	2.43	13	0	0	0	0	5	86	0	27
60.0	21.08	0.804	13	2	152	11.69	31	45	0	0	9	9.7	1.552	54.4	177.2	0.0	0	6.03	13	0	0	0	0	45	116	0	27
70.0	20.20	0.760	13	3	152	11.69	36	65	0	0	9	7.2	1.600	62.2	187.2	0.0	0	3.81	13	0	0	0	0	65	141	0	27
80.0	19.26	0.713	13	0	152	11.69	35	94	0	0	9	9.1	1.600	69.6	195.0	0.2	1	0.00	13	0	0	0	0	94	172	0	30
90.0	18.29	0.664	13	0	152	11.69	3	120	0	0	9	8.4	1.600	76.5	195.0	1.2	1	0.00	13	0	0	0	0	120	172	0	36
100.0	17.28	0.614	13	0	152	11.69	0	121	0	0	12	7.8	1.600	82.9	195.0	2.2	1	0.00	13	0	0	0	0	121	172	0	38
110.0	16.26	0.563	13	8	152	11.69	0	121	0	0	12	5.3	1.600	88.8	195.0	3.4	1	0.00	13	0	0	0	0	121	172	0	38
120.0	15.23	0.511	13	9	152	11.69	0	121	0	0	12	4.1	1.597	94.2	195.0	4.8	1	0.00	13	0	0	0	0	121	172	0	38
130.0	14.21	0.461	13	13	152	11.69	0	121	0	0	15	4.5	1.599	99.0	195.0	6.6	1	0.00	13	0	0	0	0	121	172	0	38
140.0	13.22	0.411	13	9	152	11.69	0	121	0	0	15	7.7	1.600	103.4	195.0	8.7	1	0.00	13	0	0	0	0	121	172	0	38
150.0	12.26	0.363	13	6	152	11.69	0	121	0	0	15	6.7	1.600	107.2	195.0	11.3	1	0.00	13	0	0	0	0	121	172	0	38
160.0	11.35	0.318	13	7	152	11.69	0	121	0	0	15	4.8	1.596	110.6	195.0	14.4	1	0.00	13	0	0	0	0	121	172	0	38
170.0	10.50	0.275	13	8	152	11.69	0	121	0	0	15	3.7	1.593	113.6	195.0	18.2	1	0.00	13	0	0	0	0	121	172	0	38
180.0	9.73	0.250	13	10	152	11.69	0	121	0	0	18	3.1	1.579	116.2	195.0	22.6	1	0.00	13	0	0	0	0	121	172	0	38
190.0	9.03	0.250	13	11	152	11.69	0	121	0	0	18	2.5	1.556	118.7	195.0	27.7	1	0.00	13	0	0	0	0	121	172	0	38
200.0	8.43	0.250	13	8	152	11.69	0	121	0	0	18	2.6	1.536	121.2	195.0	33.5	1	0.00	13	0	0	0	0	121	172	0	38
210.0	7.92	0.250	13	10	152	11.69	0	121	0	0	18	2.5	1.525	123.7	195.0	40.0	1	0.00	13	0	0	0	0	121	172	0	38
